label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23
SQUAT,0.29203689098358154,0.4745892882347107,1.2560300827026367,1.5724061727523804,1.1094692945480347,0.8905306458473206,0.22809460759162903,0.3503817319869995,0.42915862798690796,0.5559516549110413,0.9205182790756226,0.9809941649436951,1.668296217918396,0.7549582719802856,0.963631808757782,1.315326452255249,0.5760093927383423,0.6897002458572388,0.5433796048164368,1.1288084983825684,1.1319422721862793,1.0320005416870117,0.5093811750411987,0.1979096233844757
SQUAT,0.25316303968429565,0.8534207344055176,1.2098469734191895,1.7276040315628052,1.0050947666168213,0.9949052929878235,0.3002685308456421,0.11313893646001816,0.7886196374893188,0.3406253755092621,0.8975034356117249,0.7835164666175842,1.8137999773025513,0.7508491277694702,1.2504843473434448,1.3904521465301514,0.8998041152954102,0.38213542103767395,0.9522250890731812,1.0409770011901855,1.1419222354888916,1.2365648746490479,0.467495858669281,0.6746973395347595
SQUAT,0.4829280972480774,0.20995838940143585,1.406972050666809,1.3289343118667603,1.0123507976531982,0.9876490831375122,0.3516756296157837,0.19258056581020355,0.5488976836204529,0.47940993309020996,0.7108906507492065,1.0822432041168213,1.6156916618347168,0.5624540448188782,1.185767412185669,0.966881513595581,0.7924869060516357,0.6600422263145447,0.7726631760597229,1.1261489391326904,0.9845651984214783,1.008663535118103,0.32606929540634155,0.2565537095069885
SQUAT,0.46206000447273254,0.5329195857048035,1.0152641534805298,1.0698305368423462,0.9779406785964966,1.0220593214035034,0.35011181235313416,0.4053165316581726,0.47394028306007385,0.43063804507255554,0.6756635904312134,0.6692897081375122,1.232252597808838,0.7478922605514526,0.8514065146446228,1.1033227443695068,0.7982106804847717,0.6400975584983826,0.7438480257987976,0.6827557682991028,0.873811662197113,1.2106399536132812,0.5955854058265686,0.6424103379249573
SQUAT,0.4116910994052887,0.5818862318992615,1.016493320465088,1.35286545753479,0.9763161540031433,1.023683786392212,0.43277937173843384,0.4192952811717987,0.28487563133239746,0.27753180265426636,0.724493682384491,1.04861581325531,1.5307393074035645,0.680209219455719,1.0732530355453491,0.9893471002578735,0.6328900456428528,0.586643636226654,0.5502199530601501,0.7913674116134644,1.0158590078353882,1.2290639877319336,0.6036173701286316,0.5338615775108337
SQUAT,0.3225865364074707,0.5335635542869568,1.0103226900100708,1.5475718975067139,1.1746182441711426,0.825381875038147,0.6253080368041992,0.24180565774440765,0.36451759934425354,0.7148387432098389,0.8676995038986206,0.4427494406700134,1.3133838176727295,0.7308282852172852,0.835935115814209,1.0503571033477783,0.7816664576530457,0.7390967011451721,0.9408074021339417,1.1683564186096191,1.1857596635818481,0.7009080052375793,0.24945712089538574,0.5432030558586121
SQUAT,0.381488561630249,0.49930641055107117,1.2954509258270264,1.3636467456817627,0.8817681074142456,1.1182318925857544,0.28088825941085815,0.5878159999847412,0.7497939467430115,0.30035296082496643,1.0293298959732056,1.0395126342773438,1.6959195137023926,0.6072682738304138,1.3486053943634033,1.1120357513427734,0.876532256603241,0.877277672290802,0.7366117835044861,1.0162954330444336,1.2254540920257568,1.0795660018920898,0.5059638023376465,0.4459911286830902
SQUAT,0.15335696935653687,0.25117096304893494,1.1912040710449219,1.3671133518218994,1.0769503116607666,0.9230497479438782,0.6498299241065979,0.20681199431419373,0.6221834421157837,0.38688910007476807,1.0193006992340088,0.9847815632820129,1.4414570331573486,0.7874695062637329,0.9431635141372681,1.081437110900879,0.9414639472961426,0.5185957551002502,1.106187343597412,1.1166099309921265,1.1346276998519897,0.9714019298553467,0.3680144250392914,0.25792115926742554
SQUAT,0.3980586528778076,0.38219153881073,1.2271901369094849,1.322101354598999,0.975304365158081,1.024695634841919,0.2453664094209671,0.29087740182876587,0.40531691908836365,0.783359169960022,0.7745178937911987,1.1187723875045776,1.543644905090332,0.5945637822151184,1.3150359392166138,1.0426405668258667,0.6098619699478149,1.0008529424667358,0.6477769017219543,0.9638170599937439,0.9385838508605957,1.2743358612060547,0.30535587668418884,0.5087683200836182
SQUAT,0.5155267715454102,0.3399917483329773,0.9546522498130798,1.1743441820144653,0.8500893115997314,1.149910569190979,0.1579207181930542,0.4680333733558655,0.6774240732192993,0.34156137704849243,0.351102739572525,0.9764758348464966,1.0452326536178589,0.6953888535499573,1.236534833908081,1.0683070421218872,0.6180193424224854,0.6249753832817078,0.5796046257019043,0.978021502494812,0.9986912608146667,1.1780424118041992,0.3916843831539154,0.10767565667629242
